Rank,Score,Title,Date,Views,20K+,2024+,Keywords,URL
A,76.0,Introduction to AIP Agents,20250319,6059,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=6HTgMkirqN0
A,76.0,End-to-End RAG Workflow Using Pipeline Builder and AIP Logic,20250312,7036,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=wql_XPHbFkI
A,76.0,Build with Us: Sending your Contour Dashboard on a Schedule,20250305,1246,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=kq5pVJg29cQ
A,76.0,Image Classification in Pipeline Builder,20250226,1564,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=_ujvA5b6JFc
A,76.0,Deep Dive: Data Analysis in Quiver,20250220,3375,,✓,"AIP,Foundry,Workshop",https://www.youtube.com/watch?v=q46EmKSijTs
A,76.0,Introduction to Machine Learning Operations,20250212,5465,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=h3my5M-HZIM
A,76.0,Build with Me: Advanced Dashboarding & Reporting in Contour,20250206,4522,,✓,"AIP,Foundry",https://www.youtube.com/watch?v=L7ztCFbhDYA
A,76.0,Building a RAG workflow with AIP Logic,20250128,7328,,✓,"AIP,Foundry,Workshop",https://www.youtube.com/watch?v=YB4ev1hGVN0
A,76.0,Interacting with HuggingFace Using Webhooks,20250122,2405,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=5CM_Kvig1eA
A,76.0,Creating and using a Quiver Dashboard Template,20250115,2910,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=IeHV4D90N2I
A,76.0,Conditional Formatting in the Ontology,20250108,1510,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=U_6ztLKUdbU
A,70.0,Intro to Charts in Workshop,20241218,3798,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=m15HgAYro7I
A,70.0,Conditional Visibility in Workshop,20241211,3167,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=AdhGn7UY1Ec
A,70.0,Applied Notional Project,20241204,8401,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=ZeapLGUJSMw
A,70.0,Quiver Visual Functions,20241115,2152,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=pcYk_GAfLdM
A,70.0,From Excel Worksheets to Scheduled Reporting,20241024,2808,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=KrSqpeFb8xE
A,70.0,Intro to Object Explorer,20241016,3331,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=YuT96FVeDuc
A,70.0,Build with Us | Speedrun: Creating Your First Data Connection,20241011,8116,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=ofwAPNiDo48
A,70.0,Build with Us | Deep Dive: Speedrun Your FIrst AIP Workflow,20240926,16599,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=kcMgaLi3Yqs
A,78.0,Build with Us | Deep Dive: Your first Ontology,20240919,27308,✓,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=SOW0IA_I0bk
A,78.0,Build with Us | Deep Dive: Building your first application,20240911,24231,✓,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=Uh0zpMUR6wY
A,70.0,Build with Us | Deep Dive: Data Analysis in Contour,20240905,9842,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=46wwI9MA2Cg
A,78.0,Build with Us: Speedrun Your First End-to-End Workflow,20240828,44937,✓,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=f61gXVH-QZE
A,70.0,Intro to Code Workbooks,20240823,4060,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=R-E1zPaSgQ8
A,70.0,Intro to Notepad,20240815,2768,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=ElEtTvrBSxA
A,70.0,Intro to Code Workspaces,20240807,2949,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=DHLP00_PhQY
A,70.0,Build with Us | Deep Dive: Building Your First Pipeline,20240731,12478,,✓,"Pipeline,AIP,Foundry",https://www.youtube.com/watch?v=I9iOqre7gqk
A,70.0,Intro to Data Lineage,20240724,5972,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=gdU_tzcNhbo
A,70.0,Navigating in Foundry,20240724,1848,,✓,"AIP,Foundry,Demo",https://www.youtube.com/watch?v=zbsTY6yu2L8
A,70.0,Intro to Code Repositories for Python Transforms,20240716,6339,,✓,"AIP,Foundry,Tutorial",https://www.youtube.com/watch?v=Etr_hK75iRU
B,55.0,Virtual Tables in Foundry,20231020,2060,,,"Pipeline,Foundry,Tutorial",https://www.youtube.com/watch?v=p8hQON-pBtM
B,55.0,How to use Contour's SQL Expressions Board,20230815,3441,,,"Foundry,Tutorial,How to",https://www.youtube.com/watch?v=aM3fBQ7DL3E
B,55.0,Using Saved Object Sets in Workshop,20230808,1973,,,"Foundry,Tutorial,Workshop",https://www.youtube.com/watch?v=E7t6ekuh_RM
B,55.0,Securing PII Data in Palantir Foundry,20230801,2026,,,"Foundry,Tutorial,How to",https://www.youtube.com/watch?v=a6evESSwZaA
B,55.0,Data Connection in 10min,20230718,10753,,,"Pipeline,Foundry,Tutorial",https://www.youtube.com/watch?v=WCt7dN_-5wg
B,63.0,Intro to Foundry Pipeline Builder,20230711,28423,✓,,"Pipeline,Foundry,Tutorial",https://www.youtube.com/watch?v=WIQA7u1tbsY
B,55.0,Palantir Foundry: Contour 101,20230612,19543,,,"Foundry,How to",https://www.youtube.com/watch?v=3yzenPa5jOQ
B,55.0,Object Sets 101,20230531,5136,,,Foundry,https://www.youtube.com/watch?v=PTt2G6Xnxow
